"","sample_key","site","ICPMS_conc","ICPMS_conc_error","AA_conc","AA_conc_error"
"1",10,"F",3106.29875083171,10633.5744263954,3188.10507092688,126.367080845274
"2",12,"F",12788.6619440597,4998.11511144556,7949.21765515101,321.852586251561
"3",13,"QC",55014.3616940128,3522.24364095845,38189.8944571571,1546.26141297108
"4",14,"D",16860.0091687036,2461.69930343514,13384.9315032739,518.136632783019
"5",15,"QC",64445.3243833583,NA,46283.934857034,1791.67744312976
"6",16,"F",19258.4527294099,3993.82268736721,13423.168218443,535.637485073635
"7",17,"QC",64940.1055991332,2776.90571328412,51174.4395391891,2042.056092114
"8",18,"D",14894.4836172317,17170.8949464722,10813.6974157153,431.505962726025
"9",19,"QC",45200.9616604532,1136.70375229465,51638.4328561,2060.56887515952
"10",21,"D",7899.4578809669,17564.4187900849,5967.26572661013,230.992575325317
"11",22,"E",26478.9065616928,1454.10642317769,19330.0594389289,776.812822371325
"12",23,"QC",68410.9831098068,4839.95486010197,52350.162473876,2128.18973315912
"13",24,"C",58256.1231884425,1688.75128014996,46537.4085473425,1870.21718360461
"14",26,"C",29943.6102438635,4930.27052725712,23437.5649942461,952.652275597529
"15",27,"QC",61123.7664800127,1580.69961453505,46874.3002358616,1890.68517919989
"16",38,"C",43814.7217944927,4030.20147372392,33139.8212156559,1282.85555648744
"17",39,"QC",47473.8968719454,2121.79577582761,42569.036444278,1698.65825773257
"18",40,"B",15075.0996707885,3827.03193976329,17107.7047878807,662.242876554894
"19",41,"B",19973.4056352847,8565.13824999782,18365.4515282761,732.860857308973
"20",44,"QC",74716.6593257057,1726.79955703675,65640.5621686144,2540.95002512185
"21",45,"B",19538.8978476631,8899.28284018386,18743.205532562,747.923527909431
"22",46,"A",25812.9614372387,3128.39161133287,25461.883281293,1030.90537757028
"23",47,"QC",66051.5055010485,5545.21637147315,57979.5919588477,2347.4992949913
"24",48,"A",35004.8953702471,1098.51587175621,33910.8957917419,1365.79149429812
"25",51,"C",11422.2898826323,1208.87711044044,10686.0044791478,426.414025923654
"26",52,"B",9291.93116485675,931.397716167087,7538.93466920312,487.702519999332
"27",53,"QC",34170.2400059462,1668.48285633369,28517.2339745823,1604.22256854089
"28",54,"A",17181.5437583318,3903.632693407,16639.304403362,690.779369943163
"29",56,"A",19808.5048217536,5146.56559480965,20547.7182664033,809.270832082597
"30",57,"QC",64702.3850207281,4476.58353097913,56879.2678745336,2269.70338716712
"31",58,"B",22501.1688033607,4051.48760574952,20933.3516607745,850.861448297965
"32",59,"QC",64864.7710007953,NA,56049.3265557026,2272.84609386322
"33",6,"C",31146.482687102,NA,24300.3055266344,969.67923758648
"34",8,"E",13474.1187477425,1304.37802550458,9583.91414069672,370.995041690492
